CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,sub_cluster
00777815000181,BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA,FACFIF,0
00793947000105,BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA,FACFIF,1
00809773000113,BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA,FACFIF,0
00813342000120,SANTANDER MAIS 2 RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FIF,1
00817201000186,ITAU RENDA FIXA PLUS FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA,FACFIF,1
00817677000117,CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA,FIF,1
00819858000182,WESTERN ASSET RF ATIVO SILVER FUNDO DE INVESTIMENTO EM COTAS DE FIF RF RESP LIMITADA,FACFIF,1
00819875000110,WESTERN ASSET DI RENDA FIXA REFERENCIADO FIF RESPONSABILIDADE LIMITADA,FIF,0
00819880000122,WESTERN ASSET CAMBIO DOLAR PRIME FIC DEFI FINANCEIRO CAMBIAL - RESPONSABILIDADE LIMITADA,FACFIF,1
00819889000133,CLASSE ÚNICA DO WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL - RESP LIMITADA,FIF,1
00819901000100,WESTERN ASSET DI SILVER FUNDO DE INVESTIMENTO EM COTAS DE FIF RF REFERENCIADO RESP LIMITADA,FACFIF,0
00819915000123,WESTERN ASSET DI EXCELLENT FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADO - RESPONSABILIDADE LIMITADA,FACFIF,1
00819929000147,WESTERN ASSET DI PLUS FUNDO DE INVESTIMENTO EM COTAS DE FIF RF RESP LIMITADA,FACFIF,1
00822954000180,ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FIF,1
00824198000128,BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA,FACFIF,0
00825076000156,PRATICBEC FIF - CLASSE DE INVESTIMENTO RF CURTO PRAZO - RESPONSABILIDADE LIMITADA,FIF,0
00825077000109,BECMAXI FI FINANCEIRO - CI RF - RESP LIMITADA,FIF,1
00826901000137,CS EVOLUTION DI FUNDO DE INVESTIMENTO EM COTAS DE FIF RENDA FIXA REFERENCIADO - RESP LIMITADA,FIF,1
00826903000126,CSHG TOP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULT RESP LIMITADA,FIF,1
00826907000104,ITAÚ MEDIUM TERM CAPITAL FIX RENDA FIXA REFERENCIADO DI FIF DA CIC RESP LIMITADA,FACFIF,0
00826911000172,GOLDEN DI RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,0
00828941000118,ITAÚ ADVANTAGE RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,0
00829163000181,BRADESCO FIF - CIC MULTI MULTIPERFORMANCE - RESP LIMITADA,FIF,1
00829280000145,ITAÚ RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,3
00829282000134,ITAU EMPRESA RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA,FACFIF,0
00829288000101,ITAÚ PRIVATE RENDA FIXA REFERENCIADO DI EXCLUSIVE FIF DA CIC RESPONSABILIDADE LIMITADA,FACFIF,3
00829292000170,ITAÚ CORP RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,0
00832407000185,ITAÚ FRANCÊS RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,3
00832414000187,ITAÚ RENDA FIXA REFERENCIADO DI PLUS FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,0
00832424000112,ITAÚ PERSONNALITÉ RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO CIC RESP LIMITADA,FACFIF,1
00832431000114,ITAÚ PERSONNALITÉ RF PLUS FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FACFIF,1
00832443000149,ITAÚ BBA RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESPONSABILIDADE LIMITADA,FACFIF,1
00832445000138,ITAÚ RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,0
00832453000184,CSHG DI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA,FIF,1
00832587000103,BRB FUNDO DE INVESTIMENTO EM COTAS DE FI RF DI CRÉDITO PRIVADO LP HIPER - RESPONSABILIDADE LIMITADA,FIF,1
00832588000140,FUNDO DE INVESTIMENTO EM RENDA FIXA BRB LIQUIDEZ RESPONSABILIDADE LIMITADA,FIF,1
00832696000112,SANTANDER CRESCIMENTO VIP RENDA FIXA - CIC FIF RESPONSABILIDADE LIMITADA,FIF,1
00836258000122,FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CHALLENGER RESPONSABILIDADE LIMITADA,FIF,1
00836263000135,TIVIO ATIVO FI FINANCEIRO - CI RF LP - RESP LIMITADA,FIF,1
00838266000108,BANESTES VITÓRIA 500 FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA,FIF,0
00838267000152,BANESTES INVESTIDOR AUTOMÁTICO FIF RENDA FIXA CURTO PRAZO RESPONSABILIDADE LIMITADA,FIF,0
00838269000141,BANESTES INVEST MONEY FIF RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,0
00838868000165,ITAÚ PRIVATE SPECIAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA,FIF,0
00840008000166,ITAÚ MULTIMERCADO MULTMANAGER FIF CIC RESPONSABILIDADE LIMITADA,FACFIF,1
00842960000107,BB BESC RENDA FIXA PREMIUM FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,0
00849567000137,SANTANDER PB HS MULTIMERCADO - FUNDO DE INVESTIMENTO FINANCEIRO,FACFIF,1
00856171000117,SAM FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,FIF,1
00856751000104,NUCLEOS V SULAMÉRICA ALM CLASSE DE INVESTIMENTO RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FIF,1
00856755000192,SANTANDER MAIS RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FACFIF,1
00857361000159,BANPARA TRADICIONAL FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,FIF,1
00885758000154,SANTANDER PB JATOBÁ RENDA FIXA CRÉDITO PRIVADO - FUNDO DE  INVESTIMENTO FINANCEIRO,FIF,1
00885762000112,BRADESCO H FIF - CLASSE DE  INVESTIMENTO RF REFERENCIADA DI LP TÍTULOS PÚBLICOS - RESP LIMITADA,FIF,0
00893531000150,BRADESCO FAPA SENIOR FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,FIF,1
00906044000185,TEMPO CAPITAL MANACÁ FIF DA CIC EM AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
00947958000194,OPPORTUNITY MARKET FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,FIF,1
00970059000102,BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA EMPRESA - RESPONSABILIDADE LIMITADA,FIF,0
00973117000151,ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FIF,1
00974902000129,BOLT PREV FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FIF,1
00975480000106,BRADESCO H FIF  - CLASSE DE  INVESTIMENTO RF REFERENCIADA DI LONGO PRAZO  RESPONSABILIDADE LIMITADA,FIF,0
00977449000104,BNP PARIBAS GERDAU PREVIDÊNCIA 1 CLASSE DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO RESP LIMITADA,FIF,0
00979181000140,BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SOMA - RESPONSABILIDADE LIMITADA,FACFIF,1
01045435000115,WESTERN ASSET MULTIRENDA 10 FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO RESPON LIMITADA,FACFIF,1
01045437000104,WESTERN ASSET MULTIRENDA 20 FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTMERCADO RESP LIMITADA,FACFIF,1
01063897000165,ITAÚ SMALL CAP VALUATION FIF CIC EM AÇÕES RESP LIMITADA,FITVM,1
01069185000153,IU BNP PARIBAS CORPORATE VI FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
01071664000104,,,1
01099040000103,UNIVERSAL P FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,FACFIF,1
01103103000140,BALANCED GROWTH FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,FACFIF,1
01107772000190,CONCÓRDIA EXTRA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,FIF,1
01111801000197,CONFIANÇA G FIF CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA,FACFIF,1
01114310000108,BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA LONGO PRAZO PLUS - RESP LIMITADA,FACFIF,1
01135345000115,ITAÚ ÍNDICE AÇÕES IBOVESPA FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA,FIC-FITVM,1
01147626000198,MEL CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FACFIF,1
01147641000136,MAPFRE SOBERANO CLASSE DE INVESTIMENTO  RENDA FIXA - RESPONSABILIDADE LIMITADA,FIF,1
01165780000192,CAIXA MASTER PERSONALIZADO 50 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO-RESP LIMITADA,FIF,2
01165796000103,CAIXA CLÁSSICO FIC DE CLASSE DE FIF RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FACFIF,0
01171956000119,BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS CAMBIAL DÓLAR - RESP LIMITADA,FACFIF,1
01171957000163,BRAM FI FINANCEIRO - CI RF - RESP LIMITADA,FIF,3
01174068000150,PRIVATE IZA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
01197545000100,BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA SATURNO - RESPONSABILIDADE LIMITADA,FACFIF,1
01214092000175,BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FIF,1
01221890000124,CSHG VERDE FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,FIF,1
01231931000163,OMEGA FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO,FACFIF,1
01271827000100,ITAÚ PRIVATE RENDA FIXA EXCELLENCE FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESPONSABILIDADE LIMITADA,FACFIF,1
01309845000126,CSHG SUNRISE FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉD PRIV RESPONSABILIDADE LIMITADA,FACFIF,1
01353626000144,SAFRA BUILDING BLOCK MACRO GERAL FIF CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO RESP LIMITADA,FACFIF,1
01361072000127,TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF CIC RESP LIMITADA,FACFIF,1
01361073000171,TOP RENDA MISTA CORP RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO FIF DA CIC RESPONSABILIDADE LIMITADA,FACFIF,1
01361074000116,TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,FIF,3
01375954000141,PLANNER REDWOOD FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO RESPOSABILIDADE LIMITADA,FIF,0
01380701000166,SANTANDER PB VII MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO,FIF,1
01392020000118,BRADESCO PGBL/VGBL FUTURE COMPOSTO III FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
01392021000162,BRADESCO H PGBLVGBL FUTURE FI FINANCEIRO - CIC RF - RESP LIMITADA,FIF,1
01410032000128,BB CAP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,3
01424041000178,BRADESCO ÁGUIA FI FINANCEIRO - CI RF - RESP LIMITADA,FIF,1
01430938000104,BTG PACTUAL DÓLAR FUNDO DE INVESTIMENTO CAMBIAL,FIF,1
01433414000177,ITAÚ PERSONNALITÉ PRÊMIO RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA,FACFIF,0
01434078000187,RT SCALA RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FACFIF,2
01464595000107,CSHG FUNDO DE INVESTIMENTO FINANCEIRO - CAMBIAL RESPONSABILIDADE LIMITADA,FIF,1
01490766000164,WESTERN ASSET DI GOLD FUNDO DE INVESTIMENTO EM COTAS DE FIF RF REFERENCIADO RESP LIMITADA,FACFIF,0
01496940000186,BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA,FITVM,1
01508152000162,BRADESCO FIF - CLASSE DE INVESTIMENTO RF ASSURANCE - RESP LIMITADA,FIF,1
01525057000177,CAIXA IBOVESPA FUNDO DE INVESTIMENTO EM COTAS DE CLASSE DE FIF EM AÇÕES - RESPONSABILIDADE LIMITADA,FITVM,1
01536201000170,TARGET D FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FIF,1
01541649000182,BRADESCO FIF - CIC MULTI GOLDEN PROFIT CONSERVADOR - RESP LIMITADA,FACFIF,1
01562582000162,BRADESCO H FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO - RESP LIMITADA,FIF,1
01587403000141,BANESTES VIP DI FIC DE FIF RENDA FIXA REFERENCIADO DI RESPONSABILIDADE LIMITADA,FIF,1
01590019000106,ITAÚ PRIVATE SELECT AÇÕES FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA,FITVM,1
01597275000117,ITAÚ RENDA FIXA FLOOR FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,1
01603578000103,ICATU VANGUARDA XI  FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA,FIF,0
01605280000124,WESTERN ASSET DI MASTER FUNDO DE INVESTIMENTO EM COTAS DE FIF RF REFERENCIADO RESP LIMITADA,FACFIF,0
01606509000145,BRADESCO PGBLVGBL FUTURE COMPOSTO II FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
01606544000164,BRADESCO FIF - CIC MULTI GOLDEN PROFIT DINÂMICO - RESP LIMITADA,FACFIF,1
01606545000109,BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MACRO - RESPONSABILIDADE LIMITADA,FACFIF,1
01606546000153,BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA MERCÚRIO - RESPONSABILIDADE LIMITADA,FACFIF,1
01606552000100,BRADESCO PLUS FI FINANCEIRO - CI MULT - RESP LIMITADA,FIF,3
01608399000150,CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FIF EM AÇÕES RESPONSABILIDADE LIMITADA,FIC-FITVM,1
01613104000134,ITAÚ PRIVATE CONSERVADOR FIF CIC RENDA FIXA RESP LIMITADA,FACFIF,1
01616137000138,VOYAGER DI REFERENCIADO DI EXCLUSIVO FIF CIC RENDA FIXA RESP LIMITADA,FACFIF,0
01620027000140,FUNDO DE INVESTIMENTO FINANCEIRO PB NICE MULTIMERCADO,FACFIF,1
01620606000192,WESTERN ASSET BALANCEADO MULTIMERCADO FIF RESPONSABILIDADE LIMITADA,FIF,1
01622154000188,BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO SPIN RESPONSABILIDADE LIMITADA,FIF,1
01623379000159,ITAÚ FPP MODERADO FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉD PRIV - RESP LIMITADA,FIF,1
01623535000181,ITAÚ CAMBIAL FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FACFIF,1
01623538000115,BORSEN FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,FIF,0
01623857000120,SANTANDER PB MODERADO MULTIMERCADO - CIC FIF RESP LIMITADA,FACFIF,1
01624111000131,BECSUPER FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI - RESP LIMITADA,FIF,0
01624178000176,ITAÚ LION RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA,FIF,0
01625681000146,SAFRA EXECUTIVE SPECIAL FIF CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA RESPONSABILIDADE LIMITADA,FACFIF,1
01626952000188,TARGET II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FACFIF,1
01630152000130,SANTANDER BREMEN MULTIMERCADO - FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,1
01631246000124,CONSERVADOR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FIF,1
01634642000105,LEVE BD FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,FIF,1
01643271000128,FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
01655956000194,SANTANDER PREMIUM RENDA FIXA REFERENCIADO DI - FIF RESP LIMITADA,FIF,0
01656101000188,,,1
01678491000197,WESTERN ASSET MULTIRENDA 30 FIC DE FI FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,FACFIF,1
01699688000102,SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA,FITVM,1
01745808000160,PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES,FITVM,1
01757217000103,BRADESCO FIF - CIC MULTI MAIS - RESP LIMITADA,FIF,1
01776200000101,,,1
01789400000190,WESTERN ASSET IBOVESPA ATIVO FIF EM AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
01823373000125,LEGACY CAPITAL ABSOLUTO FIF EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FIF,1
01873685000143,PREVI RF TÍTULOS PÚBLICOS HTM ACUMULAÇÃO FIF RESP LIMITADA,FIF,3
01884229000107,ICATU VANGUARDA CAP SOBERANO FIF  - CLASSE DE INVESTIMENTO RF  - RESP  LTDA,FIF,1
01889170000131,ITAÚ BBA ÍCARUS RENDA FIXA CURTO PRAZO FIF CIC RESPONSABILIDADE LIMITADA,FACFIF,0
01912197000106,FPRV1 SABIÁ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FITVM,2
01972663000130,SUPER PREMIUM RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA,FACFIF,0
01975502000109,SAFRA ITAIPAVA FIF CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FIF,1
01978445000103,BRB FUNDO DE INVESTIMENTO MULTIMERCADO LONGO PRAZO BRASÍLIA  RESPONSABILIDADE LIMITADA,FIF,1
02010153000145,,,1
02020528000158,BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FITVM,1
02037763000132,MAPFRE MASTER IGPM CLASSE DE INVESTIMENTO  RENDA FIXA - RESPONSABILIDADE LIMITADA,FIF,1
02039468000115,,,1
02097249000192,SAFRA SETORIAL BANCOS FIF CLASSE DE INVESTIMENTO EM COTAS EM AÇÕES RESP LIMITADA,FITVM,1
02097252000106,SAFRA MULTIDIVIDENDOS PB FIF CLASSE DE INVESTIMENTO EM COTAS EM AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
02097253000150,SAFRA PRIVATE FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES RESP LIMITADA,FITVM,1
02131724000108,BANRISUL INFRA ESTRUTURA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
02131725000144,BANRISUL ÍNDICE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
02138442000124,BRADESCO H DIVIDENDOS FI FINANCEIRO - CIA - RESP LIMITADA,FITVM,1
02143193000165,PROFIX INSTITUCIONAL FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,FIF,1
02143194000100,BRASILETROS PACV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,FIF,1
02145108000106,ALFA SEGURADORA FIF CLASSE DE INVESTIMENTO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
02162620000152,VENTOR DÓLAR HEDGE FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,FACFIF,1
02171479000154,BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES IBOVESPA ATIVO - RESP LIMITADA,FIC-FITVM,1
02177815000176,,,1
02190541000155,BRASILSEG RENDA FIXA SOBERANO ATIVO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,1
02198411000169,SAFRA PREVFIX FIF PREVIDENCIÁRIO CIC RENDA FIXA PREVIDENCIÁRIO RESPONSABILIDADE LIMITADA,FIF,1
02201164000102,CAIXA ABSOLUTO PRÉ FIC DE CLASSE DE FIF RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FACFIF,1
02222178000102,ITAÚ CAMBIAL DÓLAR FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FACFIF,1
02226122000126,,,1
02290279000110,ITAÚ EXCHANGE CAMBIAL FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,2
02290280000145,ITAÚ FLEXPREV PLUS FIF CIC RF - RESP LIMITADA,FIF,3
02290304000166,ITAÚ FLEXPREV SPECIAL II FIF CIC RF - RESP LIMITADA,FIF,1
02290305000100,ITAÚ EMPRESA MULTIESTRATÉGIA MULTIMERCADO FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FACFIF,1
02294026000115,FIF - CIC RF REFERENCIADO DI FALCÃO - RESP LIMITADA,FIF,0
02296928000190,BB INSTITUCIONAL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,2
02297087000136,BB RENDA FIXA LONGO PRAZO ÍNDICE DE PREÇO FIC FIF RESPONSABILIDADE LIMITADA,FIF,1
02297533000102,,,1
02323746000161,CAIXA SOBERANO FIC DE CLASSE DE FIF RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FIF,0
02335944000145,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA TARGET I,FIF,1
02343288000122,,,1
02436763000105,SANTANDER SELEÇÃO CRESCIMENTO SENIOR AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FITVM,1
02444266000159,,,1
